year	month	day	hour	minute	solar	wind	temp
2021	08	05	15	44	129	3.2	14.6
2021	08	05	16	00	141	3.35	14.6
2021	08	05	16	15	163	3.69	14.7
2021	08	05	16	30	74	3.4	14.6
2021	08	05	16	45	44	1.52	14.7
2021	08	05	17	00	20	2.84	14.6
2021	08	05	17	15	12	3.06	14
2021	08	05	17	30	3	2.37	14
2021	08	05	17	45	1	1.87	14
2021	08	05	18	00	0	1.49	14.1
2021	08	05	18	15	0	2.18	14
2021	08	05	18	30	0	1.06	13.9
2021	08	05	18	45	0	1.2	13.8
2021	08	05	19	00	0	1.27	13.8
2021	08	05	19	15	0	1.17	13.8
2021	08	05	19	30	0	1.11	13.9
2021	08	05	19	45	0	1.33	13.9
2021	08	05	20	00	0	1.18	13.8
2021	08	05	20	15	0	1.54	13.8
2021	08	05	20	30	0	1.38	13.7
2021	08	05	20	45	0	3.18	13.3
2021	08	05	21	00	0	2.63	13.1
2021	08	05	21	15	0	2.96	12.8
2021	08	05	21	30	0	2.87	12.5
2021	08	05	21	45	0	2.68	12.4
2021	08	05	22	00	0	2.59	12.3
2021	08	05	22	14	0	1.57	12.1
2021	08	05	22	30	0	1.56	11.9
2021	08	05	22	45	0	1.03	11.8
2021	08	05	23	00	0	1.17	11.7
2021	08	05	23	14	0	1.59	11.7
2021	08	05	23	29	0	1.69	11.7
2021	08	05	23	44	0	1.18	11.6
2021	08	05	23	59	0	0.84	11.6
2021	08	06	00	14	0	0.94	11.7
2021	08	06	00	29	0	0.71	11.9
2021	08	06	00	44	0	1.08	11.9
2021	08	06	00	59	0	0.94	11.8
2021	08	06	01	14	0	0.85	11.8
2021	08	06	01	29	0	0.76	11.8
2021	08	06	01	44	0	1.1	12
2021	08	06	01	58	0	1.85	11.6
2021	08	06	02	13	0	1.1	11.4
2021	08	06	02	28	0	0.83	11.4
2021	08	06	02	43	0	1.47	11.5
2021	08	06	02	58	0	1.26	11.4
2021	08	06	03	13	0	1.1	11.2
2021	08	06	03	28	0	1.23	10.9
2021	08	06	03	43	0	1.07	10.6
2021	08	06	03	58	0	0.75	10.7
2021	08	06	04	13	0	0.82	10.8
2021	08	06	04	28	0	1	11
2021	08	06	04	42	0	1.18	11.1
2021	08	06	04	58	0	1.16	11.1
2021	08	06	05	12	0	1.03	11.1
2021	08	06	05	27	0	1.06	11.2
2021	08	06	05	43	0	1.36	11.3
2021	08	06	05	58	0	1.54	11.3
2021	08	06	06	13	0	1.31	11.2
2021	08	06	06	28	0	1	11.1
2021	08	06	06	43	0	0.98	11.2
2021	08	06	06	58	0	0.73	11.4
2021	08	06	07	13	1	1.22	11.5
2021	08	06	07	28	3	1.36	11.5
2021	08	06	07	43	12	1.77	11.5
2021	08	06	07	58	32	1.74	11.6
2021	08	06	08	13	31	1.78	11.7
2021	08	06	08	27	38	2.21	11.4
2021	08	06	08	43	46	1.5	11.4
2021	08	06	08	58	75	2.01	11.6
2021	08	06	09	13	89	1.95	11.8
2021	08	06	09	28	119	2.12	11.6
2021	08	06	09	43	151	1.32	11.7
2021	08	06	09	58	177	1.64	11.8
2021	08	06	10	13	209	2.19	11.9
2021	08	06	10	28	171	1.92	12.1
2021	08	06	10	44	337	2.11	12.4
2021	08	06	10	59	160	1.93	12.5
2021	08	06	11	13	197	2.49	12.3
2021	08	06	11	29	194	2.33	12.1
2021	08	06	11	44	349	1.73	12.9
2021	08	06	11	59	169	2.25	13.4
2021	08	06	12	14	164	1.93	13.3
2021	08	06	12	29	141	1.76	13.4
2021	08	06	12	44	117	1.25	13.5
2021	08	06	12	59	135	1.23	13.5
2021	08	06	13	14	102	1.55	13.4
2021	08	06	13	29	99	1.35	13.4
2021	08	06	13	44	111	1.23	13.5
2021	08	06	13	59	65	1.4	13.6
2021	08	06	14	13	94	1.23	13.5
2021	08	06	14	29	106	1.76	13.5
2021	08	06	14	44	109	1.59	13.6
2021	08	06	14	59	91	1.53	13.7
2021	08	06	15	14	61	2.12	13.6
2021	08	06	15	29	38	1.94	13.6
2021	08	06	15	44	42	1.61	13.7
2021	08	06	15	59	34	1.52	13.7
2021	08	06	16	14	28	1.8	13.7
2021	08	06	16	30	34	1.54	13.7
2021	08	06	16	45	31	1.07	13.7
2021	08	06	17	00	32	1.41	13.5
2021	08	06	17	15	22	1.41	13.5
2021	08	06	17	30	7	1.22	13.4
2021	08	06	17	45	1	1.21	13.3
2021	08	06	18	01	0	0.98	13.2
2021	08	06	18	16	0	1.02	13.2
2021	08	06	18	31	0	1.51	13
2021	08	06	18	46	0	2.39	12.3
2021	08	06	19	01	0	1.92	12.2
2021	08	06	19	16	0	1.68	12
2021	08	06	19	32	0	1.17	12
2021	08	06	19	47	0	1.01	12
2021	08	06	20	02	0	0.89	11.7
2021	08	06	20	17	0	0.84	11.6
2021	08	06	20	32	0	1.12	11.6
2021	08	06	20	47	0	1.05	11.5
2021	08	06	21	02	0	0.97	11.4
2021	08	06	21	17	0	0.87	11.4
2021	08	06	21	32	0	0.75	11.5
2021	08	06	21	47	0	1.48	11.7
2021	08	06	22	02	0	1.33	11.6
2021	08	06	22	16	0	1.07	11.4
2021	08	06	22	31	0	1.05	11.3
2021	08	06	22	47	0	0.91	11.2
2021	08	06	23	02	0	0.96	11.2
2021	08	06	23	17	0	0.68	11.2
2021	08	06	23	33	0	0.49	11.3
2021	08	06	23	48	0	0.32	11.3
2021	08	07	00	02	0	0.45	11.3
2021	08	07	00	17	0	0.33	11.3
2021	08	07	00	32	0	0.66	11.5
2021	08	07	00	48	0	0.86	11.7
2021	08	07	01	03	0	0.49	11.7
2021	08	07	01	18	0	0.61	11.7
2021	08	07	01	33	0	0.66	11.8
2021	08	07	01	48	0	0.78	11.8
2021	08	07	02	04	0	0.85	11.7
2021	08	07	02	18	0	0.9	11.8
2021	08	07	02	33	0	1.26	11.7
2021	08	07	02	49	0	1.02	11.7
2021	08	07	03	03	0	1.2	11.6
2021	08	07	03	18	0	1.11	11.5
2021	08	07	03	33	0	0.96	11.5
2021	08	07	03	48	0	1.01	11.4
2021	08	07	04	03	0	0.82	11.3
2021	08	07	04	18	0	1.02	11.2
2021	08	07	04	33	0	0.96	11.1
2021	08	07	04	47	0	1.08	11
2021	08	07	05	03	0	0.91	10.9
2021	08	07	05	17	0	1.06	10.9
2021	08	07	05	32	0	0.86	10.9
2021	08	07	05	47	0	1.39	10.7
2021	08	07	06	02	0	0.94	10.6
2021	08	07	06	17	0	1.2	10.6
2021	08	07	06	33	0	1.34	10.7
2021	08	07	06	48	0	1.28	10.6
2021	08	07	07	04	0	1.37	10.5
2021	08	07	07	18	2	1.59	10.4
2021	08	07	07	33	7	1.16	10.4
2021	08	07	07	49	18	1.14	10.3
2021	08	07	08	03	30	1.28	10.4
2021	08	07	08	18	62	0.93	10.5
2021	08	07	08	33	75	1.36	10.5
2021	08	07	08	48	67	1.01	10.7
2021	08	07	09	03	80	0.82	10.9
2021	08	07	09	18	86	1.16	11.2
2021	08	07	09	33	130	1.16	11.3
2021	08	07	09	49	181	1.63	11.4
2021	08	07	10	03	249	1.43	11.7
2021	08	07	10	18	290	2.32	12
2021	08	07	10	33	252	2.23	12.1
2021	08	07	10	48	203	1.74	12.2
2021	08	07	11	03	261	2.42	12.4
2021	08	07	11	18	257	2.23	12.6
2021	08	07	11	33	214	2.05	12.9
2021	08	07	11	48	227	2.55	12.9
2021	08	07	12	03	154	1.98	13.1
2021	08	07	12	18	174	2.83	13.1
2021	08	07	12	33	227	2.42	13.1
2021	08	07	12	47	306	2.44	13.2
2021	08	07	13	03	218	1.92	13.7
2021	08	07	13	18	149	2.22	13.7
2021	08	07	13	33	143	3.25	13.3
2021	08	07	13	48	300	2.6	13.3
2021	08	07	14	03	493	2.19	13.9
2021	08	07	14	17	223	1.92	14.2
2021	08	07	14	32	139	1.72	14.2
2021	08	07	14	47	105	3.06	14.1
2021	08	07	15	02	125	2.65	13.5
2021	08	07	15	17	148	2.1	13.5
2021	08	07	15	32	165	2.24	12.8
2021	08	07	15	47	167	1.87	13.3
2021	08	07	16	02	93	1.97	13.5
2021	08	07	16	17	64	2.05	13.9
2021	08	07	16	32	38	1.37	13.8
2021	08	07	16	46	24	1.73	13.5
2021	08	07	17	01	20	1.13	13.3
2021	08	07	17	17	10	1.23	12.9
2021	08	07	17	32	5	0.92	12.9
2021	08	07	17	48	1	0.97	13
2021	08	07	18	03	0	0.69	12.9
2021	08	07	18	18	0	2.15	12.7
2021	08	07	18	33	0	1.83	12.5
2021	08	07	18	48	0	1.1	12.3
2021	08	07	19	03	0	1.25	12.2
2021	08	07	19	18	0	1.56	12.3
2021	08	07	19	33	0	1.4	12.2
2021	08	07	19	48	0	1.28	11.8
2021	08	07	20	03	0	0.85	11.6
2021	08	07	20	18	0	0.48	11.4
2021	08	07	20	33	0	0.55	11.4
2021	08	07	20	48	0	0.36	11.2
2021	08	07	21	03	0	0.7	11.2
2021	08	07	21	17	0	0.52	11
2021	08	07	21	32	0	0.38	10.7
2021	08	07	21	48	0	0.53	10.6
2021	08	07	22	02	0	0.75	10.6
2021	08	07	22	18	0	0.71	10.7
2021	08	07	22	33	0	0.81	10.7
2021	08	07	22	48	0	0.63	10.6
2021	08	07	23	03	0	0.85	10.6
2021	08	07	23	18	0	0.98	10.4
2021	08	07	23	33	0	1.31	10.2
2021	08	07	23	48	0	0.74	10
2021	08	08	00	03	0	0.43	9.8
2021	08	08	00	18	0	0.45	9.7
2021	08	08	00	33	0	0.54	9.8
2021	08	08	00	48	0	0.96	9.6
2021	08	08	01	04	0	0.53	9.7
2021	08	08	01	19	0	0.48	9.6
2021	08	08	01	34	0	0.8	9.7
2021	08	08	01	49	0	0.68	9.8
2021	08	08	02	05	0	0.66	9.8
2021	08	08	02	20	0	0.62	9.8
2021	08	08	02	35	0	0.92	9.9
2021	08	08	02	50	0	0.9	9.7
2021	08	08	03	04	0	0.47	9.3
2021	08	08	03	19	0	0.58	8.9
2021	08	08	03	35	0	0.69	8.3
2021	08	08	03	50	0	0.75	7.9
2021	08	08	04	05	0	0.46	7.6
2021	08	08	04	21	0	0.65	7.4
2021	08	08	04	36	0	0.4	7
2021	08	08	04	50	0	0.95	6.9
2021	08	08	05	06	0	1.21	6.6
2021	08	08	05	20	0	1.05	6.4
2021	08	08	05	35	0	0.59	6.2
2021	08	08	05	50	0	0.6	6.2
2021	08	08	06	06	0	0.46	6.2
2021	08	08	06	21	0	0.36	6.1
2021	08	08	06	36	0	0.5	6
2021	08	08	06	51	0	0.52	5.8
2021	08	08	07	06	0	0.34	5.7
2021	08	08	07	20	4	0.53	5.9
2021	08	08	07	35	12	0.46	6.1
2021	08	08	07	50	36	0.76	6.7
2021	08	08	08	06	62	0.59	7.2
2021	08	08	08	21	90	0.42	7.9
2021	08	08	08	36	123	0.89	8.2
2021	08	08	08	51	147	1.45	8.1
2021	08	08	09	06	134	1	7.7
2021	08	08	09	21	215	0.9	7.9
2021	08	08	09	36	192	1.56	7.9
2021	08	08	09	51	206	0.97	8.2
2021	08	08	10	07	284	1.08	8.6
2021	08	08	10	22	353	1.09	9.3
2021	08	08	10	37	381	0.92	10.2
2021	08	08	10	52	406	1.04	11.2
2021	08	08	11	07	424	1.2	11.8
2021	08	08	11	23	382	1.34	12.2
2021	08	08	11	37	435	1.13	12.6
2021	08	08	11	53	502	1.26	12.8
2021	08	08	12	08	338	0.97	14
2021	08	08	12	23	252	0.86	13.9
2021	08	08	12	38	167	0.85	14.1
2021	08	08	12	53	194	0.87	14
2021	08	08	13	08	193	0.92	14
2021	08	08	13	24	194	0.63	14.3
2021	08	08	13	39	250	0.87	14.5
2021	08	08	13	54	169	0.76	14.7
2021	08	08	14	09	153	1.09	14.6
2021	08	08	14	24	139	1.23	14.5
2021	08	08	14	39	153	1.42	14.2
2021	08	08	14	54	108	1.17	14.3
2021	08	08	15	09	136	0.93	14.3
2021	08	08	15	25	248	0.83	14.3
2021	08	08	15	40	232	1.26	14.4
2021	08	08	15	55	245	0.94	14.7
2021	08	08	16	10	289	0.86	14.8
2021	08	08	16	24	135	0.47	15.3
2021	08	08	16	40	98	0.8	15.2
2021	08	08	16	54	74	0.42	15.3
2021	08	08	17	09	17	0.66	15.2
2021	08	08	17	25	10	0.63	15
2021	08	08	17	39	4	0.83	14.8
2021	08	08	17	54	1	0.44	14.7
2021	08	08	18	09	0	0.6	14.5
2021	08	08	18	24	0	0.42	14.2
2021	08	08	18	39	0	1.03	13.8
2021	08	08	18	54	0	0.8	13.6
2021	08	08	19	09	0	0.57	13.5
2021	08	08	19	24	0	0.37	13.5
2021	08	08	19	39	0	0.51	13.4
2021	08	08	19	54	0	0.38	13.3
2021	08	08	20	09	0	0.22	13.3
2021	08	08	20	25	0	0.47	13.2
2021	08	08	20	39	0	0.5	13
